title,year,runtime_min,attention,weight,tension,action,humor,ending,genre,setting,themes,series,style,source
Jaws,1975,124,1,3,3,2,1,Bittersweet,Horror|Thriller,Modern,Survival,No,Mainstream,Essentials
Jumanji,1995,104,1,1,2,2,2,Positive,Adventure|Family|Fantasy,Modern,Family,Yes,Mainstream,Essentials
Jurassic Park,1993,127,2,2,3,3,1,Positive,Action|Sci-Fi|Adventure,Modern,Survival,No,Mainstream,Essentials
Kung Fu Panda,2008,92,1,1,1,2,3,Positive,Animation|Comedy|Action,Fantasy World,Identity,Yes,Mainstream,Essentials
L.A. Confidential,1997,138,2,3,2,1,1,Bleak,Crime|Thriller,Historical,Violence & Crime|Power & Politics,No,Mixed,Essentials
Life Is Beautiful,1997,116,2,2,1,1,2,Bittersweet,Drama|Comedy|War,Historical|War,War|Family,No,Mixed,Essentials
Logan,2017,137,2,3,2,3,1,Bleak,Action|Drama,Future,Family|Violence & Crime,Yes,Mainstream,Essentials
Love Actually,2003,135,1,1,1,1,2,Bittersweet,Romance|Comedy,Modern,Love & Relationships|Family,No,Mainstream,Essentials
Léon: The Professional,1994,110,2,3,2,2,1,Bleak,Thriller|Crime,Modern,Friendship|Violence & Crime,No,Indie,Essentials
Mad Max: Fury Road,2015,120,1,2,3,3,1,Positive,Action|Adventure,Future,Survival,No,Mainstream,Essentials
Mamma Mia!,2008,108,1,1,1,1,3,Positive,Musical|Comedy,Modern,Family|Love & Relationships,No,Mainstream,Essentials
Matilda,1996,98,1,1,1,1,2,Positive,Family|Fantasy|Comedy,Modern,Family|Identity,No,Mainstream,Essentials
Mean Girls,2004,97,1,1,1,1,3,Positive,Comedy,Modern,Coming-of-Age|Friendship,No,Mainstream,Essentials
Midsommar,2019,148,2,3,3,1,1,Bleak,Horror|Drama,Modern,Love & Relationships|Grief & Loss,No,Indie,Essentials
Minority Report,2002,145,2,2,2,2,1,Bittersweet,Sci-Fi|Thriller,Future,Identity|Power & Politics,No,Mainstream,Essentials
Mission: Impossible,1996,110,2,2,3,3,1,Positive,Action|Thriller,Modern,Identity,No,Mainstream,Essentials
Moana,2016,107,1,1,1,1,1,Positive,Animation|Family|Musical|Adventure,Fantasy World,Identity|Family,No,Mainstream,Essentials
Moneyball,2011,133,2,1,1,1,2,Positive,Drama|Sports|Biopic,Historical,Social Critique,No,Mainstream,Essentials
Monty Python and the Holy Grail,1975,91,1,1,1,1,3,Positive,Comedy|Fantasy,Historical,Friendship,No,Indie,Essentials
Napoleon Dynamite,2004,86,1,1,1,1,2,Positive,Comedy,Modern,Coming-of-Age|Friendship,No,Indie,Essentials
Never Look Away,2018,189,2,3,1,1,1,Bleak,Drama,Historical,Art & Music|War|Family,No,Indie,Essentials
Night at the Museum,2006,108,1,1,1,2,3,Positive,Comedy|Family|Fantasy,Modern,Family,Yes,Mainstream,Essentials
No Country for Old Men,2007,122,3,3,3,2,1,Bleak,Thriller|Crime,Modern,Violence & Crime|Revenge,No,Indie,Essentials
Notting Hill,1999,124,1,1,1,1,2,Bittersweet,Romance|Comedy,Modern,Love & Relationships,No,Mainstream,Essentials
Nowhere in Africa,2001,141,2,3,1,1,1,Bittersweet,Drama|Biopic,Historical|War,War|Family|Identity,No,Indie,Essentials
Paddington 2,2017,103,1,1,1,2,3,Positive,Family|Comedy|Adventure,Modern,Family|Friendship,Yes,Mainstream,Essentials
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,1,1,2,3,2,Positive,Action|Adventure|Fantasy,Historical,Friendship,Yes,Mainstream,Essentials
Pretty Woman,1990,119,1,1,1,1,2,Positive,Romance|Comedy,Modern,Love & Relationships,No,Mainstream,Essentials
Psycho,1960,109,2,3,2,1,1,Bleak,Horror|Thriller,Historical,Mental Health,No,Mixed,Essentials
Pulp Fiction,1994,154,2,3,2,2,2,Bleak,Crime|Thriller,Modern,Violence & Crime,No,Mainstream,Essentials
Rabbit Without Ears,2007,115,1,1,1,1,3,Positive,Romance|Comedy,Modern,Love & Relationships,No,Mainstream,Essentials
Raiders of the Lost Ark,1981,115,1,1,3,3,2,Positive,Action|Adventure,Historical,Survival,No,Mainstream,Essentials
Rain Man,1988,133,2,2,1,1,2,Bittersweet,Drama|Comedy,Modern,Family,No,Mainstream,Essentials
Ratatouille,2007,111,1,1,1,1,2,Positive,Animation|Family|Comedy,Modern,Family|Art & Music,No,Mainstream,Essentials
Reservoir Dogs,1992,99,2,3,2,2,2,Bleak,Crime|Thriller,Modern,Violence & Crime,No,Indie,Essentials
Rocky,1976,120,1,2,2,1,1,Positive,Drama|Sports,Historical,Identity,No,Mainstream,Essentials
Run Lola Run,1998,81,2,2,3,1,1,Bittersweet,Thriller|Drama,Modern,Love & Relationships|Identity,No,Indie,Essentials
Rush,2013,123,2,2,2,2,1,Bittersweet,Drama|Sports|Biopic,Historical,Friendship|Identity,No,Mixed,Essentials
Saving Private Ryan,1998,169,3,3,3,3,1,Bleak,War|Drama,Historical|War,War|Survival,No,Mainstream,Essentials
Scream,1996,111,1,3,3,1,2,Bleak,Horror|Crime,Modern,Survival,Yes,Mainstream,Essentials
Se7en,1995,127,2,3,3,1,1,Bleak,Thriller|Crime,Modern,Violence & Crime,No,Mainstream,Essentials
Shrek,2001,90,1,1,1,1,3,Positive,Animation|Comedy|Fantasy,Fantasy World,Friendship,Yes,Mainstream,Essentials
Silver Linings Playbook,2012,122,2,2,1,1,2,Bittersweet,Drama|Romance|Comedy,Modern,Mental Health|Family|Love & Relationships,No,Indie,Essentials
Skyfall,2012,143,2,2,2,3,1,Bittersweet,Action|Thriller,Modern,Identity,Yes,Mainstream,Essentials
Slumdog Millionaire,2008,120,2,2,2,1,1,Positive,Drama|Romance,Modern,Love & Relationships|Social Critique,No,Indie,Essentials
Some Like It Hot,1959,121,1,1,1,1,3,Positive,Comedy,Historical,Love & Relationships,No,Mainstream,Essentials
Spider-Man: No Way Home,2021,148,2,2,3,3,2,Bittersweet,Action|Sci-Fi,Modern,Identity|Friendship,Yes,Mainstream,Essentials
Spirited Away,2001,124,2,2,1,1,1,Bittersweet,Animation|Fantasy,Fantasy World,Coming-of-Age|Family,No,Indie,Essentials
Suck Me Shakespeer,2013,118,1,1,1,1,3,Positive,Comedy,Modern,Friendship,Yes,Mainstream,Essentials
Superbad,2007,113,1,1,1,1,3,Positive,Comedy,Modern,Friendship|Coming-of-Age,No,Mainstream,Essentials
Terminator 2: Judgment Day,1991,137,2,2,3,3,1,Bittersweet,Action|Sci-Fi|Thriller,Modern,Family|Survival,No,Mainstream,Essentials
The Avengers,2012,143,1,1,2,3,2,Positive,Action|Sci-Fi,Modern,Friendship,Yes,Mainstream,Essentials
The Batman,2022,176,2,3,3,2,1,Bleak,Action|Thriller|Crime,Modern,Violence & Crime|Power & Politics,No,Mainstream,Essentials
The Bourne Identity,2002,119,2,2,3,3,1,Bittersweet,Action|Thriller,Modern,Identity,Yes,Mainstream,Essentials
The Conjuring,2013,112,2,3,3,1,1,Bleak,Horror,Historical,Family,Yes,Mainstream,Essentials
The Curious Case of Benjamin Button,2008,166,2,2,1,1,1,Bittersweet,Drama|Romance|Fantasy,Historical,Love & Relationships|Identity,No,Mainstream,Essentials
The Exorcist,1973,122,2,3,3,1,1,Bleak,Horror,Modern,Mental Health,No,Mainstream,Essentials
The Experiment,2001,120,2,3,3,1,1,Bleak,Thriller|Drama,Modern,Power & Politics|Violence & Crime,No,Indie,Essentials
The Godfather,1972,175,2,3,2,1,1,Bleak,Crime|Drama,Historical,Family|Power & Politics|Violence & Crime,No,Mainstream,Essentials
The Godfather Part II,1974,202,2,3,2,1,1,Bleak,Crime|Drama,Historical,Family|Power & Politics,Yes,Mainstream,Essentials
The Goonies,1985,114,1,1,2,2,2,Positive,Adventure|Family|Comedy,Modern,Friendship,No,Mainstream,Essentials
The Greatest Showman,2017,105,1,1,1,1,2,Positive,Musical|Drama,Historical,Identity|Art & Music,No,Mainstream,Essentials
The Green Mile,1999,189,2,3,1,1,1,Bleak,Drama|Fantasy,Historical,Grief & Loss|Social Critique,No,Mainstream,Essentials
The Hunger Games,2012,142,1,2,3,3,1,Bleak,Sci-Fi|Action|Drama,Future,Survival|Social Critique,Yes,Mainstream,Essentials
The Incredibles,2004,115,1,1,2,2,2,Positive,Animation|Family|Action,Modern,Family,No,Mainstream,Essentials
The Lion King,1994,88,1,2,1,1,1,Bittersweet,Animation|Family|Drama,Fantasy World,Family|Power & Politics,No,Mainstream,Essentials
The Lives of Others,2006,137,2,3,2,1,1,Bleak,Drama|Thriller,Historical,Power & Politics|Isolation & Loneliness,No,Indie,Essentials
The Lord of the Rings: The Fellowship of the Ring,2001,178,2,2,2,3,1,Bittersweet,Fantasy|Adventure,Fantasy World,Friendship|Power & Politics,Yes,Mainstream,Essentials
The Lord of the Rings: The Return of the King,2003,201,2,2,2,3,1,Positive,Fantasy|Adventure,Fantasy World,Friendship|War,Yes,Mainstream,Essentials
The Lord of the Rings: The Two Towers,2002,179,2,2,2,3,1,Bittersweet,Fantasy|Adventure,Fantasy World,Friendship|War,Yes,Mainstream,Essentials
The Martian,2015,144,1,1,2,2,2,Positive,Sci-Fi|Drama,Future,Survival,No,Mainstream,Essentials
The Matrix,1999,136,2,2,3,3,1,Bittersweet,Sci-Fi|Action,Future,Identity,No,Mainstream,Essentials
The Notebook,2004,123,1,2,1,1,1,Bittersweet,Romance|Drama,Historical,Love & Relationships,No,Mainstream,Essentials
The Perks of Being a Wallflower,2012,102,2,2,1,1,1,Bittersweet,Drama|Romance,Modern,Coming-of-Age|Mental Health|Friendship,No,Indie,Essentials
The Pianist,2002,150,3,3,2,1,1,Bleak,Drama|Biopic|War,Historical|War,War|Survival|Art & Music,No,Mixed,Essentials
The Princess Bride,1987,98,1,1,1,1,3,Positive,Fantasy|Adventure|Romance,Fantasy World,Love & Relationships|Friendship,No,Mixed,Essentials
The Pursuit of Happyness,2006,117,1,2,1,1,1,Positive,Drama|Biopic,Historical,Family|Social Critique,No,Mainstream,Essentials
The Shawshank Redemption,1994,142,2,3,2,1,1,Bittersweet,Drama,Historical,Friendship|Violence & Crime,No,Mainstream,Essentials
The Shining,1980,146,2,3,3,1,1,Bleak,Horror|Thriller,Historical,Mental Health|Isolation & Loneliness,No,Mixed,Essentials
The Silence of the Lambs,1991,118,2,3,3,1,1,Bleak,Thriller|Horror,Modern,Violence & Crime|Mental Health,No,Mainstream,Essentials
The Sixth Sense,1999,107,2,3,2,1,1,Bleak,Thriller|Drama|Mystery,Modern,Grief & Loss|Family,No,Mainstream,Essentials
The Sound of Music,1965,174,1,1,1,1,2,Positive,Musical|Drama,Historical|War,Family|War,No,Mainstream,Essentials
The Super Mario Bros. Movie,2023,92,1,1,1,3,2,Positive,Animation|Family|Adventure|Comedy,Fantasy World,Family,No,Mainstream,Essentials
The Usual Suspects,1995,106,3,3,3,1,1,Bleak,Thriller|Crime,Modern,Violence & Crime|Identity,No,Indie,Essentials
The White Ribbon,2009,144,3,3,1,1,1,Bleak,Drama,Historical,Violence & Crime|Social Critique,No,Indie,Essentials
Titanic,1997,195,2,3,2,2,1,Bleak,Drama|Romance,Historical,Love & Relationships|Social Critique,No,Mainstream,Essentials
Toni Erdmann,2016,162,2,2,1,1,2,Bittersweet,Comedy|Drama,Modern,Family|Identity,No,Indie,Essentials
Top Gun: Maverick,2022,131,1,1,2,3,1,Positive,Action|Drama,Modern,Friendship,No,Mainstream,Essentials
Toy Story,1995,81,1,1,1,1,2,Positive,Animation|Family|Comedy,Modern,Friendship,Yes,Mainstream,Essentials
Twilight,2008,122,1,1,2,1,1,Bittersweet,Romance|Fantasy,Modern,Love & Relationships|Identity,Yes,Mainstream,Essentials
Up,2009,96,1,2,1,1,2,Bittersweet,Animation|Family|Adventure,Modern,Family|Grief & Loss,No,Mainstream,Essentials
WALL·E,2008,98,1,2,1,1,1,Bittersweet,Animation|Sci-Fi,Future,Isolation & Loneliness|Social Critique,No,Mainstream,Essentials
West Side Story,2021,156,2,2,2,1,1,Bleak,Musical|Romance,Historical,Love & Relationships|Violence & Crime,No,Mainstream,Essentials
When Harry Met Sally...,1989,96,1,1,1,1,2,Positive,Romance|Comedy,Modern,Love & Relationships|Friendship,No,Mainstream,Essentials
Wicked,2024,160,1,1,1,1,2,Bittersweet,Musical|Fantasy,Fantasy World,Friendship|Identity,Yes,Mainstream,Essentials
Willy Wonka & the Chocolate Factory,1971,100,1,1,1,1,2,Positive,Fantasy|Family,Fantasy World,Family,No,Mainstream,Essentials
Wonder Woman,2017,141,1,2,2,3,1,Positive,Action|Fantasy,Historical|War,War|Identity,Yes,Mainstream,Essentials
Wonka,2023,116,1,1,1,1,3,Positive,Musical|Fantasy|Comedy,Fantasy World,Family|Identity,No,Mainstream,Essentials
Zodiac,2007,157,3,3,2,1,1,Bleak,Thriller|Crime,Historical,Violence & Crime|Identity,No,Indie,Essentials
Zootopia,2016,108,1,1,1,2,2,Positive,Animation|Family|Comedy,Modern,Social Critique|Identity,No,Mainstream,Essentials
